City,Average Salary
"Newark, CA",150000
"Concord, CA",130167
"Marin City, CA",126000
"Pico Rivera, CA",122500
"Belcamp, MD",122000
"Fort George G Meade, MD",122000
"Seven Hills, OH",120000
"Strongsville, OH",120000
"Carnegie, PA",119500
"Eighty Four, PA",119500
"Heidelberg, PA",119500
"Leetsdale, PA",119500
"Macdill AFB, FL",119000
"Md City, MD",119000
Michigan,119000
"Offutt AFB, NE",119000
South Carolina,119000
Texas,119000
"Los Gatos, CA",118700
"College Park, MD",118000
"Westminster, CO",117000
"Berkeley, CA",115500
"Des Moines, WA",115000
"Glenview, IL",113000
"Northfield, IL",113000
"Daly City, CA",112500
"Oregon City, OR",112000
"Wilsonville, OR",112000
"San Jose, CA",111240
"East Weymouth, MA",109000
"Milton, MA",109000
"Tewksbury, MA",109000
"Wellesley, MA",109000
"City of Industry, CA",106000
"Cupertino, CA",105885
Connecticut,105750
"Santa Clara, CA",105182
"Garner, NC",105000
"Far Rockaway, NY",104500
"Memphis, TN",104500
"Millington, TN",104500
"Edison, NJ",104000
"Mahwah, NJ",104000
"Beaverton, OR",103818
"Great Neck, NY",103000
"Aberdeen Proving Ground, MD",102833
"Menlo Park, CA",102654
"Redwood City, CA",100735
"Sunnyvale, CA",100540
"Portland, OR",100214
"Wharton, NJ",100000
"Emeryville, CA",99000
"National City, CA",99000
"Novato, CA",99000
"Whittier, CA",98750
"Spring, TX",98500
"San Francisco, CA",98338
"Stanford, CA",98000
"Sterling, VA",97375
"Palo Alto, CA",96659
"Mountain View, CA",96650
"Annapolis Junction, MD",96583
"Parsippany, NJ",96500
California,96333
"Burlingame, CA",96125
"New Berlin, WI",96000
"Sturtevant, WI",96000
"Waukesha, WI",96000
"Florham Park, NJ",95750
"Fremont, CA",95389
"Scott Air Force Base, IL",94500
"Hoboken, NJ",94375
"Vancouver, WA",94000
"Woodlawn, MD",93250
"Arcadia, CA",93000
"Bloomington, MN",93000
"Inver Grove Heights, MN",93000
"Maple Grove, MN",93000
"West Orange, NJ",93000
"Danvers, MA",92750
"Oakland, CA",92588
Arizona,92500
"Berlin, VT",92500
"Bothell, WA",92500
"Hercules, CA",92500
"Millbrae, CA",92500
Pennsylvania,92500
"Tunica Resorts, MS",92500
Utah,92500
"Wright Patterson AFB, OH",92500
"Concord, MA",92000
"El Cajon, CA",92000
"New Brunswick, NJ",92000
"Gardena, CA",91667
"Woodland Hills, CA",91417
"Morrisville, NC",91286
"Dedham, MA",90000
"Deerfield, IL",90000
"San Mateo, CA",90000
"San Bruno, CA",89750
"Secaucus, NJ",89750
"Summit, NJ",89750
"Columbia, MD",89559
"Campbell, CA",89500
"Henderson, CO",89500
"Hillsboro, OR",89500
"Bridgeton, MO",89300
"Whippany, NJ",89000
"Foster City, CA",88773
"Silver Spring, MD",88750
"Boothwyn, PA",88500
"Newtown Square, PA",88500
"Norristown, PA",88500
"Merrifield, VA",88000
"Maywood, IL",87000
"Valley Stream, NY",87000
"Aurora, CO",86667
"Earth City, MO",86500
Georgia,86500
"Livermore, CA",86500
"Milpitas, CA",86500
"Redmond, WA",86140
"Claremont, CA",86000
"Charlestown, MA",85900
"Basking Ridge, NJ",85833
"Rockville, MD",85833
"Elk Grove Village, IL",85500
"Bellevue, WA",85455
"Mc Lean, VA",85300
"Brockton, MA",85250
"San Diego, CA",85201
"Rolling Meadows, IL",85167
"Reston, VA",85068
"Kirkland, WA",85000
"Fairfax, VA",84857
Virginia,84667
"Millersville, MD",84500
"Owings Mills, MD",83950
"Pleasanton, CA",83786
"Woodbridge, NJ",83750
"Fort Meade, MD",83033
"Dublin, CA",83000
"Fort Belvoir, VA",82571
"Englewood, CO",82389
"Orange, CA",82346
"Bethesda, MD",82222
"Chantilly, VA",82000
"Pittsburgh, PA",82000
"Blue Ash, OH",81500
"Fort Wright, KY",81500
"Kennesaw, GA",81500
"Loveland, OH",81500
"Mason, OH",81500
"Milford, OH",81500
"Vienna, VA",81500
"West Chester, OH",81500
"Brea, CA",81250
"Seattle, WA",81200
"Fort Sam Houston, TX",81000
"Burbank, CA",80971
"Piscataway, NJ",80700
"Chesterfield, MO",80500
"Fort Eustis, VA",80500
"Kent, WA",80500
"Plainsboro, NJ",80500
"Vineland, NJ",80500
"Clayton, MO",80147
"Alexandria, VA",80083
"Pasadena, TX",80000
"Cincinnati, OH",79810
Illinois,79667
"Burr Ridge, IL",79500
"Itasca, IL",79500
"Manhasset, NY",79500
"Long Beach, CA",79406
"South San Francisco, CA",79188
"Hermosa Beach, CA",79000
"Hunt Valley, MD",79000
"Hyattsville, MD",79000
"Inglewood, CA",79000
"Springfield, VA",79000
"Littleton, CO",78500
"Costa Mesa, CA",78333
"Irvine, CA",78185
"Annapolis, MD",78125
"Long Island City, NY",78000
"Towson, MD",77875
"Raleigh, NC",77859
"Medford, MA",77833
"Somerville, NJ",77750
"Centennial, CO",77650
"Arlington Heights, IL",77500
"Saint Louis, MO",77469
"Washington, DC",77268
"Pearland, TX",77250
"Newark, NJ",77192
"Herndon, VA",77042
"Sugar Land, TX",77000
"Stewartsville, NJ",76750
"Andover, MA",76500
"Northridge, CA",76500
"Newport Beach, CA",76438
"West Point, PA",76300
"South Plainfield, NJ",76167
"Arlington, VA",76144
"Teaneck, NJ",76000
"Chicago, IL",75942
"Somerville, MA",75750
"Louisville, CO",75667
"Hanover, MD",75500
"Marlton, NJ",75500
"Norman, OK",75500
"Oklahoma City, OK",75500
"Tysons, VA",75500
"Santa Monica, CA",75286
"Clearwater, FL",75000
"Lakewood, NJ",75000
"Morristown, NJ",75000
"Norco, CA",75000
"Princeton Junction, Mercer, NJ",75000
"Corona, CA",74667
"Denver, CO",74562
"Cambridge, MA",74545
"Covington, KY",74500
"Erlanger, KY",74500
"Forest Park, GA",74500
"Plymouth, MN",74333
"Union City, CA",74333
"Hopkins, MN",74250
"Richfield, MN",74250
"Broomfield, CO",74231
"Saint Petersburg, FL",74167
"Ontario, CA",74000
"Plymouth Meeting, PA",74000
"Lake Success, NY",73944
Remote,73919
"Research Triangle Park, NC",73875
"Lowell, MA",73750
"Boston, MA",73674
"Newton, MA",73667
"Warren, NJ",73667
"Chapel Hill, NC",73600
"Elk Grove, CA",73500
"Iselin, NJ",73500
"Malden, MA",73500
"Roseville, CA",73500
"Tampa, FL",73379
New Jersey,73365
"Whitehouse Station, NJ",73250
"Azusa, CA",73000
"Signal Hill, CA",73000
"Weymouth, MA",73000
"Waltham, MA",72563
"New York, NY",72559
"Canonsburg, PA",72500
"Durham, NC",72467
"Greenwood Village, Arapahoe, CO",72250
United States,72098
"East Palo Alto, CA",72000
"Harrison, NY",72000
"Montvale, NJ",72000
"Queens Village, NY",72000
"Staten Island, NY",72000
"Woodcliff Lake, NJ",72000
"Baltimore, MD",71969
"Scott AFB, IL",71929
New York State,71750
North Carolina,71750
"Cherry Hill, NJ",71500
"Crystal City, VA",71500
"Moorestown, NJ",71500
"Anaheim, CA",71250
"Brentwood, TN",71250
"Leavenworth, KS",71000
"Wilmington, MA",71000
"Wayne, PA",70786
"Glendale, AZ",70500
"San Rafael, CA",70500
"Tempe, AZ",70452
"Cary, NC",70333
"McLean, VA",70324
"Scottsdale, AZ",70265
"Chandler, AZ",70250
"Eagan, MN",70250
"Huntersville, NC",70250
"Jersey City, NJ",70054
"Los Angeles, CA",70054
"Trenton, NJ",70000
"Phoenix, AZ",69819
"Quincy, MA",69750
"Saint Paul, MN",69750
"Santa Ana, CA",69750
"Walnut Creek, CA",69625
"San Ramon, CA",69500
"Lexington, MA",69400
"Greenbelt, MD",69250
"Suitland, MD",69250
"Framingham, MA",69167
"Camden, NJ",69083
"Fulton, MD",69000
"Home Acres, MD",69000
"Plant City, FL",69000
"Downers Grove, IL",68864
"El Segundo, CA",68833
"Northlake, IL",68750
"Lakewood, CO",68500
"Sayreville, NJ",68500
"Springfield Gardens, NY",68500
"Overland Park, KS",68446
"Fort Mill, SC",68333
"Woodridge, IL",68250
"Roanoke, TX",68000
"Kansas City, MO",67906
"Brooklyn, NY",67875
"Weehawken, NJ",67875
"Creve Coeur, MO",67833
"Princeton, NJ",67722
"Haworth, NJ",67667
"Rancho Cordova, CA",67667
"Eden Prairie, MN",67563
"Kansas City, KS",67563
Colorado,67500
"Edwards AFB, CA",67500
"Minnetonka, MN",67300
"Sacramento, CA",67200
"Norcross, GA",67167
"Beverly Hills, CA",67000
"New Orleans, LA",67000
"Irwindale, CA",66750
"Venice, CA",66750
"Andrews AFB, MD",66500
"Beltsville, MD",66500
"El Dorado Hills, CA",66500
"Folsom, CA",66500
"Glendale, CA",66500
"Gold River, CA",66500
"Marana, AZ",66500
"Portsmouth, VA",66500
"Rocklin, CA",66500
"Tucson, AZ",66500
"Nashville, TN",66180
"Des Plaines, IL",66000
"King of Prussia, PA",66000
"Lone Tree, CO",66000
"Mesa, AZ",66000
"Charlotte, NC",65864
"Mooresville, NC",65813
"Chesapeake, VA",65800
"Norfolk, VA",65625
"Corpus Christi, TX",65500
"Grain Valley, MO",65500
"Mission, KS",65500
"Maryland Heights, MO",65357
"Northbrook, IL",65125
"DC Ranch, AZ",65000
"Kendall Park, NJ",65000
"Malvern, PA",65000
"Marietta, GA",64917
"Boulder, CO",64667
"Bellevue, NE",64500
"Edgewood, MD",64500
"Glen Burnie, MD",64500
"Hamilton, NJ",64500
"Indian Trail, NC",64500
"Linthicum, MD",64500
"Middle River, MD",64500
"Neptune, NJ",64500
"Omaha, NE",64500
"Papillion, NE",64500
"Somerset, Anne Arundel, MD",64500
"South Bend, NE",64500
"Titusville, NJ",64500
"Hanford, CA",64000
"Reedley, CA",64000
"Visalia, CA",64000
"Bridgewater, NJ",63875
"Minneapolis, MN",63875
"Huntington Beach, CA",63750
"Woburn, MA",63750
"Bronx, NY",63667
"Addison, TX",63500
"Allen Park, MI",63500
"Marina del Rey, CA",63500
"Cerritos, CA",63375
"Coppell, TX",63250
"Ewing, NJ",63250
"Lewisville, TX",63250
"Fort Worth, TX",63167
"Madison, WI",63048
"Broadview, IL",63000
"Carrollton, TX",63000
"Farmers Branch, TX",63000
"North Bethesda, MD",63000
"Tarrant, TX",63000
"Germantown, MD",62500
"Southlake, TX",62250
"Atlanta, GA",62106
"Ridley Park, PA",62000
"Tulsa, OK",62000
"Burlington, MA",61900
"Anchorage, AK",61500
"Eatontown, NJ",61500
"Middleton, WI",61500
"Natick, MA",61500
"Toms River, NJ",61500
"Southfield, MI",61346
"Philadelphia, PA",61289
"Westlake, TX",61250
"Bloomfield Hills, MI",61167
"Berea, OH",61000
"Cleveland, OH",61000
"Falls Church, VA",61000
"Highland Heights, Cuyahoga, OH",61000
"Independence, OH",61000
"Mayfield Heights, Cuyahoga, OH",61000
"Mayfield, OH",61000
"Warrensville, OH",61000
"Westlake, OH",61000
"Hampton, VA",60594
"Alameda, CA",60500
"Dania Beach, FL",60500
"Fort Lauderdale, FL",60500
"Franklin, TN",60500
"Fresno, CA",60500
"Mira Loma, CA",60500
"Rancho Cucamonga, CA",60500
"San Bernardino, CA",60500
"Sanger, CA",60500
"Culver City, CA",60250
"Austin, TX",60075
"Farmington Hills, MI",60000
"Renton, WA",60000
"Royal Oak, MI",60000
"Plano, TX",59757
"Grapevine, TX",59750
"Fort Lee, NJ",59500
"Little Ferry, NJ",59500
Massachusetts,59500
Oklahoma,59500
Ontario,59500
"Houston, TX",59402
"Allen, TX",59400
"Detroit, MI",59278
"Phila, PA",59250
"Wilmington, DE",59200
"Bridgeview, IL",59000
"Evanston, IL",59000
"Oak Brook, IL",58667
"Irving, TX",58526
"Troy, MI",58400
"San Antonio, TX",58349
"Arlington, TX",58273
"Richardson, TX",58038
"Bolingbrook, IL",58000
"Dover, NJ",58000
"Mount Laurel, NJ",58000
"Mount Vernon, NY",58000
"Lackland AFB, TX",57833
"Issaquah, WA",57750
"Coral Gables, FL",57600
"Dearborn, MI",57500
"Dunwoody, GA",57500
"Feasterville Trevose, PA",57333
"Blue Bell, PA",57250
"Fort Washington, PA",57250
"Henderson, NV",57000
"Ruxton, MD",57000
"Timonium, MD",57000
"Frisco, TX",56938
"Saint Petersburg Beach, FL",56667
"Alhambra, CA",56500
"Aliso Viejo, CA",56500
"Dearborn Heights, MI",56500
"Farmington, MI",56500
"Garden Grove, CA",56500
"Inkster Post Office, MI",56500
"Pomona, CA",56500
"Rochester Hills, MI",56500
"Rochester, MI",56500
"Duluth, GA",56350
"Horsham, PA",56063
"Allegheny West, PA",56000
"Berwyn, PA",56000
"Newport News, VA",56000
"Round Rock, TX",56000
"Smithfield, VA",56000
"Suffolk, VA",56000
"Virginia Beach, VA",56000
"Yorktown, VA",56000
"Las Vegas, NV",55773
"Franklin Lakes, NJ",55750
"Albuquerque, NM",55500
"Edina, MN",55500
"Lyndhurst, NJ",55500
"Milwaukee, WI",55500
"Smyrna, GA",55500
"Stillwater, MN",55500
"Colorado Springs, CO",55000
"Queen Creek, AZ",55000
"Alpharetta, GA",54889
"Indianapolis, IN",54250
"Livonia, MI",54250
"Duarte, CA",54000
"La Grange, KY",54000
"Langley AFB, VA",54000
"Louisville, KY",54000
Maryland,54000
"Monterey Park, CA",54000
"Panorama City, CA",54000
"Schriever AFB, CO",54000
"Torrance, CA",54000
"West Windsor, NJ",54000
"Yuma Proving Ground, AZ",54000
"Amherst, NY",53500
"Buffalo, NY",53500
"Carson, CA",53500
"Getzville, NY",53500
"Orchard Park, NY",53500
"San Dimas, CA",53500
"Williamsville, NY",53500
"Dallas, TX",53012
"Bensalem, PA",53000
"Exton, PA",53000
"Radnor, PA",53000
"West Conshohocken, PA",53000
"Jeffersonville, IN",52917
"Everett, MA",52500
"Oak Creek, WI",52500
"Peabody, MA",52500
"Pewaukee, WI",52500
"San Fernando, CA",52500
"Wauwatosa, WI",52500
"Wellesley Hills, MA",52500
"Essex Fells, NJ",52000
"Fairfield, NJ",52000
"Wayne, MI",52000
"Bakersfield, CA",51500
"Burlingame, KS",51500
"Topeka, KS",51500
"Beverly, MA",51000
"Tukwila, WA",51000
"Greensboro, NC",50500
"High Point, NC",50500
"Wentworth, NC",50500
"Jacksonville, FL",50485
"Plainfield, IN",50000
"Pasadena, CA",49786
"Belmont, MA",49500
"El Paso, TX",49500
"Ladue, MO",49500
"Norwell, MA",49500
"Saint Charles, MO",49500
"Ewa Beach, HI",49000
"Fort Shafter, HI",49000
"Honolulu, HI",49000
"Oakdale, PA",49000
"Pearl Harbor, HI",49000
"Schofield Barracks, HI",49000
"Seven Fields, PA",49000
"Wahiawä, HI",49000
"West Chester, PA",48833
"Westerville, OH",48667
"Goodlettsville, TN",48500
"Mount Juliet, TN",48500
"Gwinnett Mall Corners Post Office, GA",48250
"Altamonte Springs, FL",48000
"Byron, CA",48000
"French Camp, CA",48000
"Lake Mary, FL",48000
"Maitland, FL",48000
"Orlando, FL",48000
"Stockton, CA",48000
"Miami, FL",47706
"Beech Grove, IN",47500
"Carmel, IN",47500
"Lawrence, IN",47500
"Shoreview, MN",47500
"Whitestown, IN",47500
"Paoli, PA",46750
"Doral, FL",46000
"Lincoln, NE",46000
"Miami Lakes, FL",46000
"Miramar, FL",46000
"Reno, NV",46000
"Columbus, OH",45474
"Doylestown, PA",44667
"Athens, GA",44000
"Sandy Springs, Fulton, GA",44000
"Winston-Salem, NC",43577
"Toledo, OH",43500
"Alachua, FL",42000
"Fort Wayne, IN",42000
"Gainesville, FL",42000
"Chester Township, PA",40500
"Conshohocken, PA",40500
"Newtown, PA",40500
"Dublin, OH",40000
"Hilliard, OH",40000
"Berkeley Heights, NJ",39500
"Peachtree Corners, GA",39000
"Cedar Park, TX",38500
"West Lake Hills, TX",38500
"Lehi, UT",38200
"Salt Lake City, UT",37659
"American Fork, UT",36500
"Draper, UT",36500
"Riverton, UT",36500
"Sandy, UT",36500
"West Jordan, UT",36500
"Stafford, TX",33500
